##########################																						
# BLAST-Pol "bolo table" 2012																						
#																						
# Most recent updates in each category:																						
#   - to noise fit (WhiteNoise, 1/f, alpha):  SJB 18 Dec 2013																						
#   - to pixel offsets (EL, XEL):             JAS 20 Oct 2013																						
# Chi_250	0																					
# Chi_350	0																					
# Chi_500	0																					
Name	N	C	Type	EL	XEL	Angle	pix	LR1	LR2	CRJ	BW	Resp.	S	WhiteNoise	1/f	Res.	Chi	p_eff	q_ip	u_ip	alpha	Old																						
B2C04H	19	7	250	113.35439	184.90098	0	C04	8.72	8.66	0	0	1	0	3.2985457e-06	0.061568633	1.98	12	1	0.0006	-0.0133	1.5354077	N5C7
B2C05V	19	2	250	112.01656	129.8964	90	C05	8.84	8.58	0	0	1	0	3.2081408e-06	0.087334796	1.88	12	1	0.0106	0.0029	1.2143982	N5C2
B2C06H	23	21	250	107.55755	73.264071	0	C06	8.41	8.47	0	0	1	0	3.2963575e-06	0.069937502	1.98	12	1	-0.0018	-0.0201	1.4827116	N7C21
B2C07V	23	16	250	106.83811	18.628804	90	C07	8.38	8.44	0	0	1	0	3.4109081e-06	0.057098479	1.86	12	1	0.0121	0.0015	1.5837428	N7C16
B2C08H	23	12	250	101.54818	-38.220043	0	C08	8.35	8.4	0	0	1	0	3.7397666e-06	0.066094584	1.76	12	1	0.0066	-0.0184	1.5776075	N7C12
B2C09V	23	8	250	99.264162	-93.152393	90	C09	8.36	8.39	0	0	1	0	4.9379164e-06	0.065215289	1.76	12	1	-0.0016	-0.0034	1.418424	N7C8
B2C10H	23	3	250	97.015666	-150.19841	0	C10	8.36	8.37	0	0	1	0	3.89057e-06	0.090172297	1.87	12	1	0.0008	-0.0228	1.2907932	N7C3
B2C11V	22	22	250	95.11045	-206.96446	90	C11	8.4	8.36	0	0	1	0	3.8783856e-06	0.076534609	1.76	12	1	0.0192	-0.0062	1.4376535	N6C22
B2C12H	22	17	B250	91.21474	-263.21114	0	C12	8.44	8.36	0	0	1	0	8.86e-06	3.380653	1.83	12	1	0	0	71	N6C17
B2C13V	22	13	250	88.551652	-319.59868	90	C13	8.44	8.4	0	0	1	0	4.0664873e-06	0.0795694	1.91	12	1	0.0193	0.0043	1.4054911	N6C13
B2C14H	22	8	250	82.742085	-376.65639	0	C14	8.49	8.43	0	0	1	0	4.1000218e-06	0.076465904	2.05	12	1	0.0056	-0.0138	1.445563	N6C8
B2C15V	22	4	250	82.309669	-433.03907	90	C15	8.48	8.4	0	0	1	0	4.4905576e-06	0.088906785	2.17	12	1	0.0204	0.0086	1.2726088	N6C4
B2D01V	19	23	250	71.011835	380.55527	90	D01	8.76	8.72	0	0	1	0	4.1174454e-06	0.06113302	2.49	12	1	-0.0186	-0.016	1.577212	N5C23
B2D02H	19	18	250	67.515348	324.02572	0	D02	8.71	8.72	0	0	1	0	3.7058487e-06	0.057948056	2.38	12	1	0.0166	-0.0142	1.6778735	N5C18
B2D03V	19	15	B250	69.12648	270.07661	90	D03	8.64	8.68	0	0	1	0	4.84e-06	2.769323	2.27	12	1	0	0	29	N5C15
B2D04H	19	9	250	65.087321	212.89699	0	D04	8.72	8.68	0	0	1	0	3.614261e-06	0.052297562	2.09	12	1	0.0153	-0.0174	1.7855935	N5C9
B2D05V	19	6	250	64.02343	157.69139	90	D05	8.65	8.64	0	0	1	0	3.5711265e-06	0.053049005	2.02	12	1	0.0117	-0.0115	1.744695	N5C6
B2D06H	19	0	250	58.984349	100.50086	0	D06	8.64	8.72	0	0	1	0	3.311608e-06	0.051847883	1.88	12	1	0.0126	-0.0134	1.8276957	N5C0
B2D07V	23	19	250	59.214838	45.834502	90	D07	8.44	8.46	0	0	1	0	3.3964687e-06	0.063534909	1.96	12	1	0.013	-0.0004	1.5575275	N7C19
B2D08H	23	14	250	54.484182	-10.313466	0	D08	8.4	8.44	0	0	1	0	3.4413136e-06	0.059858242	1.82	12	1	0.0021	-0.0115	1.6096293	N7C14
B2D09V	23	10	250	53.692427	-65.507044	90	D09	8.36	8.44	0	0	1	0	3.6633908e-06	0.057542482	1.76	12	1	0.0073	-0.0087	1.7356321	N7C10
B2D1	19	22	D250	0	0	90	DK1	8.72	8.72	0	0	1	0	0	0	2.37	12	1	0	0	1	N5C22
