# "Named" Bolometers
B5E04H           N29C03 
B5D01V           N29C04 
B5D02H           N29C05 
B5D03V           N29C06 
B5D04H           N29C07 
B5C01V           N29C08 
B5C03V           N29C09 
B5C05V           N29C10 
B5T2             N29C11 
B5E05V           N29C12 
B5C06H           N29C13 
B5C08H           N29C14 
B5D05V           N29C15 
B5D06H           N29C16 
B5D07V           N29C17 
B5D08H           N29C18 
B5E07V           N29C19 
B5E06H           N29C20 
B5E08H           N29C21 
B5D2             N29C22 
B5E09V           N29C23 
